Unnamed: 0,Crop,Temperature,Humidity,Rainfall,Label_N_binned,Label_P_binned,Label_K_binned
0,rice,20.87974371,82.00274423,202.9355362,3,1,2
1,rice,21.77046169,80.31964408,226.6555374,3,2,2
2,rice,23.00445915,82.3207629,263.9642476,2,2,2
3,rice,26.49109635,80.15836264,242.8640342,2,1,2
4,rice,20.13017482,81.60487287,262.7173405,2,1,2
5,rice,23.05804872,83.37011772,251.0549998,2,1,2
6,rice,22.70883798,82.63941394,271.3248604,2,2,2
7,rice,20.27774362,82.89408619,241.9741949,3,2,2
8,rice,24.51588066,83.5352163,230.4462359,3,2,2
9,rice,23.22397386,83.03322691,221.2091958,2,2,2
10,rice,26.52723513,81.41753846,264.6148697,3,2,2
11,rice,23.97898217,81.45061596,250.0832336,3,1,2
12,rice,26.80079604,80.88684822,284.4364567,2,2,2
13,rice,24.01497622,82.05687182,185.2773389,3,2,2
14,rice,25.66585205,80.66385045,209.5869708,3,1,2
15,rice,24.28209415,80.30025587,231.0863347,2,1,2
16,rice,21.58711777,82.7883708,276.6552459,3,1,2
17,rice,23.79391957,80.41817957,206.2611855,3,1,2
18,rice,21.8652524,80.1923008,224.5550169,2,1,2
19,rice,23.57943626,83.58760316,291.2986618,3,1,2
20,rice,21.32504158,80.47476396,185.4974732,3,1,2
21,rice,25.15745531,83.11713476,231.3843163,2,1,2
22,rice,21.94766735,80.97384195,213.3560921,2,2,2
23,rice,21.0525355,82.67839517,233.1075816,2,1,2
24,rice,23.48381344,81.33265073,224.0581164,3,1,2
25,rice,25.0756354,80.52389148,257.0038865,2,2,2
26,rice,26.35927159,84.04403589,271.3586137,3,2,2
27,rice,24.52922681,80.54498576,260.2634026,3,1,2
28,rice,20.77576147,84.49774397,240.0810647,2,1,2
29,rice,22.30157427,80.64416466,197.9791215,2,2,2
30,rice,21.44653958,84.94375962,272.2017204,2,2,2
31,rice,22.17931888,80.33127223,200.0882787,3,1,2
32,rice,24.52783742,82.73685569,224.6757231,3,1,2
33,rice,20.26707606,81.63895217,270.4417274,3,2,2
34,rice,25.7354293,83.88266234,233.1321372,3,2,2
35,rice,26.79533926,82.1480873,193.3473987,3,2,2
36,rice,26.75754171,81.17734011,272.2999056,3,2,2
37,rice,23.86330467,83.15250801,285.2493645,3,1,2
38,rice,21.01944696,82.95221726,298.4018471,2,1,2
39,rice,24.17298839,83.7287574,257.0343554,2,1,2
40,rice,22.78133816,82.06719137,248.7183228,2,1,2
41,rice,25.62980105,83.52842314,209.9001977,2,1,2
42,rice,25.59704938,80.14509262,200.834898,2,2,2
43,rice,23.83067496,84.81360127,298.5601175,2,1,2
44,rice,26.31355498,82.36698992,265.5355937,3,2,2
45,rice,24.8972823,80.52586088,183.6793207,3,1,2
46,rice,24.958779,84.47963372,196.9560008,2,1,2
47,rice,23.24113501,84.59201843,233.0453455,2,1,2
48,rice,21.66628296,80.70960551,210.8142087,2,1,2
49,rice,24.63544858,80.41363018,253.7202781,3,2,2
50,rice,23.43121862,83.06310136,219.9048349,2,1,2
51,rice,20.0454142,80.3477562,208.5810155,2,2,2
52,rice,23.85724032,82.22572988,195.0948311,3,2,2
53,rice,21.97199397,81.89918197,227.3637009,2,2,2
54,rice,26.22916897,83.83625819,286.5083725,3,2,2
55,rice,23.44676801,84.79352417,283.9338466,2,1,2
56,rice,25.65553461,83.47021081,217.3788583,2,2,2
57,rice,24.44345477,82.45432595,267.9761948,3,1,2
58,rice,20.2801937,82.1235421,191.9535738,2,1,2
59,rice,21.7238313,80.2389895,277.9626192,3,2,2
60,rice,20.41447029,82.20802629,245.1511304,2,1,2
61,rice,25.75528612,83.51827127,245.6626799,2,2,2
62,rice,20.61521424,83.77345559,279.5451717,3,2,2
63,rice,21.84106875,80.72886384,202.3838319,2,1,2
64,rice,20.08369642,83.29114712,263.6372176,2,1,2
65,rice,24.45802087,82.74835604,182.5616319,3,1,2
66,rice,21.14347496,80.33502926,198.6730942,3,2,2
67,rice,25.78720567,82.11124033,243.5120414,3,2,2
68,rice,23.64124821,80.28597873,263.1103304,2,1,2
69,rice,23.43191632,80.56887849,269.5039162,3,2,2
70,rice,24.97669518,83.891805,204.8001847,2,2,2
71,rice,22.72791041,82.1706881,260.8875056,2,1,2
72,rice,24.87300744,82.84022551,295.6094492,2,1,2
73,rice,21.32376327,83.00320459,192.3197536,2,1,2
74,rice,26.29465461,84.56919326,257.4914906,2,2,2
75,rice,22.2286982,81.85872947,278.0791793,3,1,2
76,rice,26.73072391,81.78596776,280.4044392,2,1,2
77,rice,24.88921174,81.97927117,185.9461429,2,1,2
78,rice,26.88444878,81.46033732,194.5766559,2,1,2
79,rice,22.67846116,83.72874389,200.9133156,2,1,2
80,rice,26.08867875,80.37979919,182.9043504,2,2,2
